persona_in_group	type	register	term_count	unique_term_count	total_examples	avg_examples_per_term
racist	concept (policy)	Formal/Offline	26	26	26	1.0
antisemitic	stereotype-based target group label	Formal/Offline	22	22	22	1.0
white supremacist	persona signal (symbol)	Informal/Online	21	21	21	1.0
racist	stereotype-based target group label	Formal/Offline	12	12	12	1.0
transphobic	concept (values)	Formal/Offline	11	11	11	1.0
antisemitic	stereotype-based descriptor	Formal/Offline	10	10	10	1.0
transphobic	persona signal (symbol)	Informal/Online	9	9	9	1.0
transphobic	stereotype-based target group label	Informal/Online	9	9	9	1.0
racist	concept (values)	Formal/Offline	8	8	8	1.0
transphobic	persona signal (self-referential)	Formal/Offline	8	8	8	1.0
antisemitic	concept (other)	Formal/Offline	7	7	7	1.0
transphobic	persona signal (self-referential)	Informal/Online	7	7	7	1.0
white supremacist	persona signal (self-referential)	Informal/Online	7	7	7	1.0
antisemitic	representative (Bogeyman)	Formal/Offline	6	6	6	1.0
antisemitic	stereotype-based target group label	Informal/Online	5	5	5	1.0
racist	stereotype-based descriptor	Formal/Offline	5	5	5	1.0
transphobic	persona signal (shared culture)	Informal/Online	5	5	5	1.0
white supremacist	arbitrary target group label	Informal/Online	5	5	5	1.0
Islamophobic	concept (other)	Formal/Offline	4	4	4	1.0
anti-liberal	arbitrary target group label	Informal/Online	4	4	4	1.0
anti-vax	concept (values)	Formal/Offline	4	4	4	1.0
antisemitic	stereotype-based descriptor	Informal/Online	4	4	4	1.0
conservative	concept (policy)	Formal/Offline	4	4	4	1.0
homophobic	concept (values)	Formal/Offline	4	4	4	1.0
racist	persona signal (self-referential)	Formal/Offline	4	4	4	1.0
racist	stereotype-based descriptor	Informal/Online	4	4	4	1.0
religious	persona signal (shared culture)	Formal/Offline	4	4	4	1.0
transphobic	stereotype-based descriptor	Formal/Offline	4	4	4	1.0
white supremacist	humor/mockery/sarcasm	Informal/Online	4	4	4	1.0
white supremacist	persona signal (shared culture)	Informal/Online	4	4	4	1.0
